item_id,so_ky_hieu,loai_qc_tc,linh_vuc_mapped,file_count,source_url
"65","QCVN 35:2010/BTNMT","Quy chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=65"
"6","QCVN 56:2013/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác; Sản phẩm công nghiệp; Kiểm tra, giám sát chế tạo SPCN; Kiểm tra chứng nhận SPCN nhập khẩu",2,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=6"
"20","TCVN 6211:2003","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế PTCGĐB; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=20"
"8","QCVN 55:2013/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",2,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=8"
"12","QCVN 24:2010/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=12"
"24","QCVN 35:2010/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ; Chứng nhận chất lượng kiểu loại xe sản xuát, lắp ráp; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chất lượng ATKT và BVMT xe nhập khẩu; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm xe cơ giới, xe máy chuyên dùng và phụ tùng xe cơ giới",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=24"
"112","QCVN 21.2015.BGTVT.P8G","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=112"
"23","QCVN 68:2013/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ; Thử nghiệm xe cơ giới, xe máy chuyên dùng và phụ tùng xe cơ giới; Kiểm định xe cơ giới và xe bốn bánh có gắn động cơ đang lưu hành",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=23"
"291","QCVN 101: 2018/BGTVT","Quy chuẩn","Tàu biển; Đánh giá, công nhận cơ sở; Phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=291"
"304","QCVN 102:2018/BGTVT","Quy chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=304"
"311","QCVN 26:2024/BGTVT","Quy chuẩn","Tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=311"
"300","QCVN 54: 2019/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=300"
"302","QCVN 60: 2019/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=302"
"305","QCVN 67:2018/BGTVT","Quy chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=305"
"301","QCVN 73: 2019/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=301"
"303","QCVN 73: 2019/BGTVT","Quy chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=303"
"310","QCVN 74:2024/BGTVT","Quy chuẩn","Tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=310"
"306","QCVN 86:2015/BGTVT","Quy chuẩn","Chứng nhận chất lượng kiểu loại xe sản xuát, lắp ráp; Kiểm tra chất lượng ATKT và BVMT xe nhập khẩu; Phương tiện cơ giới đường bộ",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=306"
"307","Sửa đổi 01:2020 QCVN 86:2015/BGTVT","Quy chuẩn","Chứng nhận chất lượng kiểu loại xe sản xuát, lắp ráp; Kiểm tra chất lượng ATKT và BVMT xe nhập khẩu; Phương tiện cơ giới đường bộ",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=307"
"284","Sửa đổi 3: 2018 QCVN 21: 2015/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển; Khác",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=284"
"292","TCVN 12823-1: 2020","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=292"
"293","TCVN 12823-2: 2020","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=293"
"294","TCVN 12823-3: 2020","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=294"
"295","TCVN 12823-4: 2020","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=295"
"296","TCVN 12823-5: 2020","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=296"
"298","TCVN 6170-11 : 2020","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=298"
"299","TCVN 6170-12 : 2020","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=299"
"297","TCVN 6170-8 : 2020","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=297"
"265","QCVN 08:2015/BGTVT","Quy chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=265"
"282","QCVN 100: 2018/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=282"
"271","QCVN 13 : 2011/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=271"
"266","QCVN 15:2011/BGTVT","Quy chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=266"
"267","QCVN 16 : 2011/BGTVT","","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=267"
"268","QCVN 18:2011/BGTVT","Quy chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=268"
"283","QCVN 26: 2018/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển; Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=283"
"277","QCVN 42: 2015/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=277"
"270","QCVN 67:2013/BGTVT","Quy chuẩn","Kiểm tra theo luật thiết bị nâng, bình chịu áp lực, nồi hơi",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=270"
"274","QCVN 75:2019/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=274"
"275","QCVN 76:2019/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=275"
"281","QCVN 81: 2014/BGTVT Sửa đổi 1: 2017","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=281"
"269","QCVN 87:2015/BGTVT","Quy chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=269"
"278","QCVN 99: 2017/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=278"
"280","Sửa đổi 1: 2017 QCVN 42: 2015/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=280"
"276","SỬA ĐỔI 1:2017 QCVN 49 : 2012/BGTVT","Quy chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=276"
"279","Sửa đổi 2: 2017 QCVN 21: 2015/BGTVT","Quy chuẩn","Tàu biển; Thẩm định thiết kế tàu biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=279"
"264","TCVN 11806 : 2017","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=264"
"272","TCVN 7792 : 2007","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Chứng nhận chất lượng kiểu loại xe sản xuát, lắp ráp",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=272"
"273","TCVN 9854:2013","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Chứng nhận chất lượng kiểu loại xe sản xuát, lắp ráp",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=273"
"257","TCVN 10319 : 2014","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=257"
"258","TCVN 10320 : 2014","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=258"
"259","TCVN 10935-1:2015","Tiêu chuẩn","Thẩm định an toàn hệ thống đường sắt đô thị; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=259"
"260","TCVN 11389 : 2016","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=260"
"261","TCVN 11390 :2016","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=261"
"262","TCVN 11391:2016","Tiêu chuẩn","Thẩm định an toàn hệ thống đường sắt đô thị",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=262"
"263","TCVN 11805 : 2017","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=263"
"244","TCVN 9134 : 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=244"
"245","TCVN 9135 : 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=245"
"246","TCVN 9136:2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=246"
"247","TCVN 9273: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=247"
"248","TCVN 9535-1: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=248"
"249","TCVN 9535-2: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=249"
"250","TCVN 9535-3: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=250"
"251","TCVN 9535-4: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=251"
"252","TCVN 9535-6: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=252"
"253","TCVN 9535-7: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=253"
"254","TCVN 9535-8: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=254"
"255","TCVN 9535-9: 2012","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=255"
"256","TCVN 9983: 2013","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=256"
"224","QCVN 64:2015/BGTVT","Quy chuẩn","Chứng nhận sản phẩm công nghiệp; Sản phẩm công nghiệp",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=224"
"225","QCVN 65:2015/BGTVT","Quy chuẩn","Đánh giá năng lực cơ sở chế tạo SPCN; Sản phẩm công nghiệp",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=225"
"236","QCVN 71:2013/BGTVT","Quy chuẩn","Tàu biển",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=236"
"223","QCVN 71:2014/BGTVT","Quy chuẩn","Kiểm tra theo luật thiết bị nâng, bình chịu áp lực, nồi hơi",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=223"
"226","QCVN 85:2015/BGTVT","Quy chuẩn","Sản phẩm công nghiệp; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Kiểm tra, giám sát chế tạo SPCN",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=226"
"235","QCVN 89:2015/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Kiểm tra, xác nhận năng lực cơ sở đóng mới, hoán cải, sửa chữa và phục hồi phương tiện thủy nội địa",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=235"
"233","QCVN 95:2016/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=233"
"234","QCVN 96:2016/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=234"
"232","QCVN25:2015/BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=232"
"231","Sửa đổi 1:2015 QCVN72: 2013/ BGTVT","Quy chuẩn","Phương tiện thủy nội địa; Thẩm định thiết kế phương tiện thủy nội địa; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Kiểm tra, giám sát đóng mới hoán cải phương tiện thủy nội; Giám sát đóng mới phương tiện thủy nội địa; Giám sát hoán cải phương tiện thủy nội địa; Kiểm tra phương tiện thủy nội địa trong khai thác",8,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=231"
"240","TCVN 6474: 2017","Tiêu chuẩn","Công trình biển",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=240"
"227","TCVN 6528:1999","Tiêu chuẩn","Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=227"
"228","TCVN 6529:1999","Tiêu chuẩn","Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=228"
"229","TCVN 6578:2000","Tiêu chuẩn","Phương tiện cơ giới đường bộ; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=229"
"230","TCVN 6580:2000","Tiêu chuẩn","Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=230"
"241","TCVN 6767: 2016","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=241"
"238","TCVN 8403: 2010","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=238"
"239","TCVN 8404: 2010","Tiêu chuẩn","Công trình biển",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=239"
"242","TCVN 8546 : 2010","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=242"
"243","TCVN 8784 : 2011","Tiêu chuẩn","Phương tiện đường sắt",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=243"
"201","75:2014/BGTVT","Quy chuẩn","Thử nghiệm xe cơ giới, xe máy chuyên dùng và phụ tùng xe cơ giới; Phương tiện cơ giới đường bộ; Kiểm định xe cơ giới và xe bốn bánh có gắn động cơ đang lưu hành",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=201"
"202","76:2014/BGTVT","Quy chuẩn","Thử nghiệm xe cơ giới, xe máy chuyên dùng và phụ tùng xe cơ giới; Phương tiện cơ giới đường bộ; Kiểm định xe cơ giới và xe bốn bánh có gắn động cơ đang lưu hành",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=202"
"208","QCVN 11:2015/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=208"
"221","QCVN 22:2010/BGTVT","Quy chuẩn","Kiểm tra theo luật thiết bị nâng, bình chịu áp lực, nồi hơi; Phương tiện cơ giới đường bộ",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=221"
"222","QCVN 24:2010/BGTVT","Quy chuẩn","Chứng nhận sản phẩm công nghiệp; Thẩm định thiết kế sản phẩm công nghiệp sử dụng cho phương tiện thủy nội địa; Sản phẩm công nghiệp",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=222"
"209","QCVN 67:2013/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ; Thẩm định thiết kế xe cơ giới lắp ráp từ xe cơ sở; Kiểm tra chứng nhận chất lượng kiểu loại xe cơ giới; Kiểm tra chứng nhận chất lượng xe cơ giới nhập khẩu; Thử nghiệm ô tô, rơ moóc, sơ mi rơ moóc",1,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=209"
"205","QCVN 91:2015/BGTVT","Quy chuẩn","Phương tiện cơ giới đường bộ",0,"https://www.vr.org.vn/quy-chuan-tieu-chuan/Pages/default.aspx?ItemID=205"
